marz_en,marz_iso,community_hy,republican,prosperous_armenia,anc,orinats_yerkir,heritage,arf,communist,democratic_party,united_armenians,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,937,563,15,15,13,12,3,2,2,3358,1649,84,1562,11,49.11
Aragatsotn,AM-AG,Աշտարակ,13667,13741,2272,3074,1158,2151,231,95,52,54230,38023,1247,36441,47,70.11
Aragatsotn,AM-AG,Ապարան,7283,2749,1064,774,439,767,114,41,17,18354,13697,275,13248,25,74.63
Aragatsotn,AM-AG,Արեվուտ,232,29,1,0,9,5,0,0,0,791,290,14,276,6,36.66
Aragatsotn,AM-AG,Թալին,9878,5627,995,617,588,1100,198,47,25,28377,19679,443,19075,39,69.35
Aragatsotn,AM-AG,Ծաղկահովիտ,2603,1831,141,337,47,75,33,4,6,7579,5202,89,5077,10,68.64
Aragatsotn,AM-AG,Մեծաձոր,65,4,0,0,0,1,0,0,0,238,77,7,70,2,32.35
Aragatsotn,AM-AG,Շամիրամ,266,1,1,2,5,1,0,1,0,763,301,18,277,1,39.45
Ararat,AM-AR,Արարատ,11434,7466,661,869,480,652,136,31,25,31665,22546,664,21754,22,71.2
Ararat,AM-AR,Արտաշատ,33585,17420,2434,3363,1937,3216,401,124,85,95119,65453,2304,62565,68,68.81
Ararat,AM-AR,Մասիս,17088,11321,1105,226,768,1611,216,78,21,45786,33920,1104,32434,33,74.08
Ararat,AM-AR,Վեդի,13987,6259,911,1872,614,1404,175,60,22,38101,26359,881,25304,28,69.18
Ararat,AM-AR,Վերին Դվին,510,325,9,235,10,20,0,0,0,1646,1111,2,1109,1,67.5
Armavir,AM-AV,Արաքս,5772,3676,787,1271,1567,912,144,56,32,26892,14936,545,14217,20,55.54
Armavir,AM-AV,Արմավիր,12676,7703,1913,1482,1549,1597,299,96,65,51518,28554,983,27380,32,55.43
Armavir,AM-AV,Բաղրամյան,4197,1924,371,196,323,978,72,18,9,14843,8412,269,8088,17,56.67
Armavir,AM-AV,Մեծամոր,12644,5899,1138,2089,809,1755,207,83,77,45306,25740,774,24701,36,56.81
Armavir,AM-AV,Վաղարշապատ,17200,9101,2004,2525,2742,1823,572,127,96,66644,37845,1391,36190,46,56.79
Armavir,AM-AV,Փարաքար,4856,2270,607,140,602,306,115,31,28,17124,9454,435,8955,13,55.21
Armavir,AM-AV,Ֆերիկ,94,15,1,26,0,10,0,0,0,314,151,4,146,1,48.09
Gegharkunik,AM-GR,Գավառ,10906,11578,746,1238,569,1856,250,68,44,47647,28397,819,27255,30,59.6
Gegharkunik,AM-GR,Ճամբարակ,5091,3633,269,384,55,318,44,16,4,12035,10197,252,9814,18,84.73
Gegharkunik,AM-GR,Մարտունի,16904,9968,1645,3774,575,1959,287,53,50,62274,36490,995,35215,40,58.6
Gegharkunik,AM-GR,Սեվան,9488,8381,976,1241,386,2076,142,46,49,33229,23675,633,22785,24,71.25
Gegharkunik,AM-GR,Վարդենիս,13016,6248,671,1416,292,1698,56,35,16,30796,24026,502,23448,41,78.02
Kotayk,AM-KT,Աբովյան,5594,25349,1603,620,1200,1379,259,75,42,62110,37295,993,36121,40,60.05
Kotayk,AM-KT,Ակունք,923,3528,77,80,48,121,3,2,2,6868,4891,83,4784,9,71.21
Kotayk,AM-KT,Արզնի,448,515,23,23,21,18,7,6,2,1966,1138,71,1063,1,57.88
Kotayk,AM-KT,Բյուրեղավան,1544,3102,121,120,166,151,28,5,2,8590,5416,144,5239,6,63.05
Kotayk,AM-KT,Գառնի,2044,4144,227,13,60,347,21,5,2,9148,7119,156,6863,9,77.82
Kotayk,AM-KT,Ծաղկաձոր,1922,924,295,164,55,401,26,10,0,5434,3910,80,3797,7,71.95
Kotayk,AM-KT,Հրազդան,11784,9989,3894,1139,798,1783,424,74,24,50202,31067,819,29909,32,61.88
Kotayk,AM-KT,Նաիրի,10089,5127,1189,523,659,1219,116,51,13,27589,19659,598,18986,18,71.26
Kotayk,AM-KT,Նոր Հաճըն,6662,6357,486,637,495,506,98,26,19,22839,15856,407,15286,17,69.43
Kotayk,AM-KT,Չարենցավան,8197,6768,1003,328,600,791,115,44,17,29224,18761,780,17863,19,64.2
Kotayk,AM-KT,Ջրվեժ,1348,3101,190,215,146,144,14,9,4,7740,5341,140,5171,5,69.01
