marz_en,marz_iso,marz_hy,republican,prosperous_armenia,anc,orinats_yerkir,heritage,arf,communist,democratic_party,united_armenians,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Արագածոտն,34931,24545,4489,4819,2259,4112,579,190,102,113690,78918,2177,76026,141,69.42
Ararat,AM-AR,Արարատ,76604,42791,5120,6565,3809,6903,928,293,153,212317,149389,4955,143166,152,70.36
Armavir,AM-AV,Արմավիր,57439,30588,6821,7729,7592,7381,1409,411,307,222641,125092,4401,119677,165,56.19
Gegharkunik,AM-GR,Գեղարքունիք,55405,39808,4307,8053,1877,7907,779,218,163,185981,122785,3201,118517,153,66.02
Kotayk,AM-KT,Կոտայք,50555,68904,9108,3862,4248,6860,1111,307,127,231710,150453,4271,145082,163,64.93
Lori,AM-LO,Լոռի,69594,32458,7168,8985,6130,7236,1408,442,322,236441,140006,4805,133743,221,59.21
Shirak,AM-SH,Շիրակ,46126,43644,8239,9240,10732,5976,1723,398,252,228732,131644,4465,126330,217,57.55
Syunik,AM-SU,Սյունիք,51901,19053,3343,2862,2132,4442,833,224,120,121433,87892,2323,84910,153,72.38
Tavush,AM-TV,Տավուշ,34254,18482,3729,4823,2088,4265,699,200,150,108324,71668,2096,68690,95,66.16
Vayots Dzor,AM-VD,Վայոց ձոր,14799,9780,993,1881,749,2106,281,83,39,47412,31748,822,30711,54,66.96
Yerevan,AM-ER,Երևան,172658,124618,53584,24304,45377,28356,6149,2810,1209,814225,483263,20311,459065,468,59.35
