marz_en,marz_iso,community_hy,locality_hy,republican,prosperous_armenia,anc,orinats_yerkir,heritage,arf,communist,democratic_party,united_armenians,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,Ալագյազ գյուղ,75,184,0,2,3,0,0,1,0,552,276,11,265,1,50.0
Aragatsotn,AM-AG,Ալագյազ,Ավշեն գյուղ,64,36,0,0,3,0,0,0,0,317,115,12,103,1,36.28
Aragatsotn,AM-AG,Ալագյազ,Կանիաշիր գյուղ,108,42,0,3,1,1,1,0,1,366,165,8,157,1,45.08
Aragatsotn,AM-AG,Ալագյազ,Ճարճակիս գյուղ,130,121,9,2,0,10,1,0,1,486,281,6,274,1,57.82
Aragatsotn,AM-AG,Ալագյազ,Միջնատուն գյուղ,65,31,3,2,0,0,0,0,0,180,105,3,101,1,58.33
Aragatsotn,AM-AG,Ալագյազ,Միրաք գյուղ,18,15,0,0,0,0,0,0,0,84,36,3,33,1,42.86
Aragatsotn,AM-AG,Ալագյազ,Շենկանի գյուղ,101,13,0,0,0,0,0,0,0,201,116,2,114,1,57.71
Aragatsotn,AM-AG,Ալագյազ,Ջամշլու  գյուղ,73,20,0,2,3,0,0,0,0,222,107,8,98,1,48.2
Aragatsotn,AM-AG,Ալագյազ,Ռյա թազա գյուղ,158,45,2,1,1,0,0,0,0,466,215,8,207,1,46.14
Aragatsotn,AM-AG,Ալագյազ,Սադունց գյուղ,65,39,1,1,1,1,1,0,0,228,129,20,109,1,56.58
Aragatsotn,AM-AG,Ալագյազ,Սիփան գյուղ,80,17,0,2,1,0,0,1,0,256,104,3,101,1,40.62
Aragatsotn,AM-AG,Աշտարակ,Ագարակ գյուղ,481,318,21,60,11,22,10,6,4,1347,959,15,933,1,71.2
Aragatsotn,AM-AG,Աշտարակ,Աղձք գյուղ,45,747,22,10,16,18,3,2,0,1339,908,45,863,1,67.81
Aragatsotn,AM-AG,Աշտարակ,Անտառուտ գյուղ,87,48,6,3,3,3,2,1,0,216,156,3,153,1,72.22
Aragatsotn,AM-AG,Աշտարակ,Աշտարակ քաղաք,3664,4936,1077,595,592,690,108,45,17,18761,12373,509,11724,11,65.95
Aragatsotn,AM-AG,Աշտարակ,Ավան գյուղ,263,144,22,5,6,61,0,1,0,660,519,17,502,1,78.64
Aragatsotn,AM-AG,Աշտարակ,Արագածոտն գյուղ,370,53,4,21,7,21,1,2,0,766,500,18,479,1,65.27
Aragatsotn,AM-AG,Աշտարակ,Արուճ գյուղ,384,125,28,21,7,36,3,0,3,860,636,14,607,1,73.95
Aragatsotn,AM-AG,Աշտարակ,Արտաշավան գյուղ,104,148,17,4,15,98,2,0,0,512,399,11,388,1,77.93
Aragatsotn,AM-AG,Աշտարակ,Բազմաղբյուր գյուղ,301,155,43,37,17,10,8,0,0,763,578,7,571,1,75.75
Aragatsotn,AM-AG,Աշտարակ,Բյուրական գյուղ,984,892,92,163,117,77,14,9,4,3430,2461,77,2352,2,71.75
Aragatsotn,AM-AG,Աշտարակ,Դպրեվանք գյուղ,36,7,0,1,1,0,1,0,0,69,47,1,46,1,68.12
Aragatsotn,AM-AG,Աշտարակ,Լեռնարոտ գյուղ,172,25,19,23,2,4,1,0,1,262,257,6,247,1,98.09
Aragatsotn,AM-AG,Աշտարակ,Կարբի գյուղ,891,1151,94,67,48,38,5,1,0,3015,2373,41,2295,2,78.71
Aragatsotn,AM-AG,Աշտարակ,Կոշ գյուղ,734,540,48,50,27,98,8,2,0,2180,1560,53,1507,2,71.56
Aragatsotn,AM-AG,Աշտարակ,Ղազարավան գյուղ,201,80,6,24,2,10,0,0,0,384,323,1,323,1,84.11
Aragatsotn,AM-AG,Աշտարակ,Նոր Ամանոս գյուղ,211,71,16,36,15,16,3,3,0,562,376,3,371,1,66.9
Aragatsotn,AM-AG,Աշտարակ,Նոր Եդեսիա գյուղ,343,89,8,85,10,19,2,1,0,887,557,0,557,1,62.8
Aragatsotn,AM-AG,Աշտարակ,Ոսկեհատ գյուղ,309,185,8,71,4,8,7,0,0,778,615,19,592,1,79.05
Aragatsotn,AM-AG,Աշտարակ,Ոսկեվազ գյուղ,596,648,184,785,70,88,7,2,1,3314,2436,36,2381,2,73.51
Aragatsotn,AM-AG,Աշտարակ,Ուշի գյուղ,190,261,92,56,7,107,3,1,0,1093,740,22,717,1,67.7
Aragatsotn,AM-AG,Աշտարակ,Ուջան գյուղ,583,318,96,69,44,384,2,6,2,2161,1591,83,1504,2,73.62
Aragatsotn,AM-AG,Աշտարակ,Սաղմոսավան գյուղ,46,45,5,0,0,15,1,0,0,154,118,6,112,1,76.62
Aragatsotn,AM-AG,Աշտարակ,Սասունիկ գյուղ,541,176,58,581,24,55,5,5,2,2429,1522,42,1447,2,62.66
Aragatsotn,AM-AG,Աշտարակ,Վերին Սասունիկ գյուղ,49,9,0,16,4,0,0,0,0,110,81,3,78,1,73.64
Aragatsotn,AM-AG,Աշտարակ,Տեղեր գյուղ,101,19,0,0,2,9,3,0,0,177,136,2,134,1,76.84
