tec,station,constituency,marz_hy,marz_en,marz_iso,community_hy,address,registered,ballots_cast,invalid,valid,republican,prosperous_armenia,anc,orinats_yerkir,heritage,arf,communist,democratic_party,united_armenians,inaccuracy,turnout_pct
01,1/1,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ, Ավան 6փ., 52/1",1959,1179,54,1113,426,214,152,78,136,78,23,6,0,0,60.18
01,1/2,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ, Ավան 6փ., 52/1",2013,1209,44,1157,515,202,144,98,106,67,16,5,4,0,60.06
01,1/3,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 87 դպրոց, Խուդյակով 44",1997,1157,44,1084,540,172,129,56,95,65,15,9,3,0,57.94
01,1/4,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 87 դպրոց, Խուդյակով 44",1781,1054,49,994,485,155,127,29,111,64,15,5,3,0,59.18
01,1/5,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 104 դպրոց, Աճառյան 5",1744,1083,60,1023,510,199,92,53,85,65,14,4,1,0,62.1
01,1/6,1,Երևան,Yerevan,AM-ER,Ավան,"Ներսե Մեծի անվ. թիվ 124 դպրոց, Աճառյան 15",1815,993,39,943,481,189,81,35,73,65,10,8,1,0,54.71
01,1/7,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ.1-ին մ/շ 1/14",1860,1141,40,1077,542,166,88,60,106,92,14,7,2,0,61.34
01,1/8,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 180 դպրոց, Ավան Առինջ թաղ.",2070,1301,44,1246,684,212,117,30,108,69,17,6,3,0,62.85
01,1/9,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 55 մ/մանկապարտեզ, Ավան Առինջ թաղ.2-ին մ/շ 1/16",2016,1211,47,1151,559,197,138,54,103,70,16,12,2,0,60.07
01,1/10,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 55 մ/մանկապարտեզ, Ավան Առինջ թաղ.2-ին մ/շ 1/16",1992,1192,30,1155,648,197,75,38,100,82,7,5,3,0,59.84
