marz_en,marz_iso,community_hy,republican,tsarukyan_alliance,yelk,arf,congress_ppa,armenian_renaissance,free_democrats,oro,communist,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,987,252,6,191,8,10,4,38,9,3509,1507,10,1505,11,42.95
Aragatsotn,AM-AG,Աշտարակ,15410,10510,954,4593,932,2696,164,769,219,56224,37500,120,36247,48,66.7
Aragatsotn,AM-AG,Ապարան,5521,4316,241,845,384,424,36,1559,82,18591,13418,10,13408,25,72.17
Aragatsotn,AM-AG,Արեվուտ,202,32,1,35,0,5,0,9,2,822,287,1,286,6,34.91
Aragatsotn,AM-AG,Թալին,9014,6717,488,2264,308,302,35,172,147,28876,19501,50,19447,39,67.53
Aragatsotn,AM-AG,Ծաղկահովիտ,2633,1296,65,577,42,381,6,167,19,7745,5203,16,5186,10,67.18
Aragatsotn,AM-AG,Մեծաձոր,50,10,0,0,0,0,0,1,0,249,61,0,61,2,24.5
Aragatsotn,AM-AG,Շամիրամ,195,3,2,52,2,0,0,1,2,800,257,0,257,1,32.12
Ararat,AM-AR,Արարատ,13466,5292,1818,358,159,426,90,88,88,31721,21841,53,21785,22,68.85
Ararat,AM-AR,Արտաշատ,29605,29866,1730,3897,490,701,312,362,235,99288,67421,188,67198,69,67.9
Ararat,AM-AR,Մասիս,16860,13469,872,2169,233,254,122,209,96,49359,34350,56,34284,34,69.59
Ararat,AM-AR,Վեդի,17839,4659,2221,899,111,988,75,93,72,39450,27004,47,26957,28,68.45
Ararat,AM-AR,Վերին Դվին,669,346,2,41,1,10,3,0,1,1689,1076,1,1073,1,63.71
Armavir,AM-AV,Արաքս,7672,3798,742,1798,140,437,129,636,123,28285,15548,69,15475,20,54.97
Armavir,AM-AV,Արմավիր,15828,7796,1421,2048,357,1409,227,573,233,52411,29977,79,29892,32,57.2
Armavir,AM-AV,Բաղրամյան,4692,2108,206,1225,104,512,63,206,47,15581,9190,26,9163,18,58.98
Armavir,AM-AV,Մեծամոր,14628,6860,792,2686,319,1516,233,497,244,47617,27863,81,27775,37,58.51
Armavir,AM-AV,Վաղարշապատ,19609,8723,2204,3302,420,737,210,912,276,69781,36569,165,36393,47,52.41
