marz_en,marz_iso,marz_hy,republican,tsarukyan_alliance,yelk,arf,congress_ppa,armenian_renaissance,free_democrats,oro,communist,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Արագածոտն,34012,23136,1757,8557,1676,3818,245,2716,480,116816,77734,207,76397,142,66.54
Ararat,AM-AR,Արարատ,78439,53632,6643,7364,994,2379,602,752,492,221507,151692,345,151297,154,68.48
Armavir,AM-AV,Արմավիր,68162,31201,6218,11579,1451,4726,932,3073,997,232010,128828,460,128339,168,55.53
Gegharkunik,AM-GR,Գեղարքունիք,67276,38708,3346,9107,1179,5004,460,2367,468,191672,128268,341,127915,155,66.92
Kotayk,AM-KT,Կոտայք,48324,61267,12190,6568,2013,3252,906,4019,1127,238421,140540,865,139666,169,58.95
Lori,AM-LO,Լոռի,85707,25540,11793,5547,2322,3584,663,1897,705,238291,138222,464,137758,221,58.01
Shirak,AM-SH,Շիրակ,53823,42776,4222,12354,1417,13798,841,2774,704,230701,133299,529,132709,220,57.78
Syunik,AM-SU,Սյունիք,43186,20666,2330,6056,845,2024,510,1756,364,115348,78122,384,77737,153,67.73
Tavush,AM-TV,Տավուշ,34950,16932,2964,9507,1094,2815,1543,2557,353,110037,73044,270,72715,96,66.38
Vayots Dzor,AM-VD,Վայոց ձոր,14951,10729,1085,1827,297,985,195,351,181,47108,30700,95,30601,53,65.17
Yerevan,AM-ER,Երևան,241082,104176,69465,24557,12660,15877,7836,10229,5867,845810,494590,2678,491749,478,58.48
