marz_en,marz_iso,community_hy,locality_hy,republican,tsarukyan_alliance,yelk,arf,congress_ppa,armenian_renaissance,free_democrats,oro,communist,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,Ալագյազ գյուղ,196,26,0,25,1,2,0,3,0,563,253,0,253,1,44.94
Aragatsotn,AM-AG,Ալագյազ,Ավշեն գյուղ,75,13,0,22,0,1,0,1,1,338,113,0,113,1,33.43
Aragatsotn,AM-AG,Ալագյազ,Կանիաշիր գյուղ,106,17,1,9,1,1,0,5,0,367,142,2,140,1,38.69
Aragatsotn,AM-AG,Ալագյազ,Ճարճակիս գյուղ,170,45,0,26,1,0,1,0,1,502,244,3,244,1,48.61
Aragatsotn,AM-AG,Ալագյազ,Միջնատուն գյուղ,47,26,0,12,1,1,1,1,1,199,90,0,90,1,45.23
Aragatsotn,AM-AG,Ալագյազ,Միրաք գյուղ,23,22,0,5,0,0,0,1,0,94,51,0,51,1,54.26
Aragatsotn,AM-AG,Ալագյազ,Շենկանի գյուղ,68,22,0,19,1,2,0,1,1,224,114,3,114,1,50.89
Aragatsotn,AM-AG,Ալագյազ,Ջամշլու  գյուղ,41,20,2,25,1,0,0,1,0,235,90,0,90,1,38.3
Aragatsotn,AM-AG,Ալագյազ,Ռյա թազա գյուղ,141,35,1,22,1,1,1,1,4,503,207,0,207,1,41.15
Aragatsotn,AM-AG,Ալագյազ,Սադունց գյուղ,78,7,0,9,1,2,1,23,0,236,121,0,121,1,51.27
Aragatsotn,AM-AG,Ալագյազ,Սիփան գյուղ,42,19,2,17,0,0,0,1,1,248,82,2,82,1,33.06
Aragatsotn,AM-AG,Աշտարակ,Ագարակ գյուղ,500,249,16,93,12,65,4,7,9,1386,955,0,955,1,68.9
Aragatsotn,AM-AG,Աշտարակ,Աղձք գյուղ,344,424,16,46,22,32,6,3,2,1397,907,12,895,1,64.92
Aragatsotn,AM-AG,Աշտարակ,Անտառուտ գյուղ,37,52,1,13,6,16,0,45,1,235,172,1,171,1,73.19
Aragatsotn,AM-AG,Աշտարակ,Աշտարակ քաղաք,4639,3850,475,1184,286,1154,58,441,71,19383,12184,18,12158,11,62.86
Aragatsotn,AM-AG,Աշտարակ,Ավան գյուղ,306,45,6,128,9,5,0,1,5,683,509,4,505,1,74.52
Aragatsotn,AM-AG,Աշտարակ,Արագածոտն գյուղ,248,73,9,130,9,23,0,5,1,794,498,0,498,1,62.72
Aragatsotn,AM-AG,Աշտարակ,Արուճ գյուղ,372,197,5,64,9,13,1,3,4,876,668,11,668,1,76.26
Aragatsotn,AM-AG,Աշտարակ,Արտաշավան գյուղ,124,119,17,131,2,9,1,8,2,547,413,0,413,1,75.5
Aragatsotn,AM-AG,Աշտարակ,Բազմաղբյուր գյուղ,350,79,11,33,2,17,2,2,2,789,498,0,498,1,63.12
Aragatsotn,AM-AG,Աշտարակ,Բյուրական գյուղ,1084,930,81,118,40,114,8,98,13,3515,2501,15,2486,2,71.15
Aragatsotn,AM-AG,Աշտարակ,Դպրեվանք գյուղ,26,8,1,2,1,0,0,1,1,63,40,0,40,1,63.49
Aragatsotn,AM-AG,Աշտարակ,Լեռնարոտ գյուղ,79,1,0,122,2,0,0,1,0,253,205,0,205,1,81.03
Aragatsotn,AM-AG,Աշտարակ,Կարբի գյուղ,1451,631,21,122,26,62,15,13,24,3162,2379,14,2365,2,75.24
Aragatsotn,AM-AG,Աշտարակ,Կոշ գյուղ,730,298,25,502,37,49,5,3,16,2353,1676,10,1665,3,71.23
Aragatsotn,AM-AG,Աշտարակ,Ղազարավան գյուղ,95,110,6,61,5,4,5,3,1,399,290,0,290,1,72.68
Aragatsotn,AM-AG,Աշտարակ,Նոր Ամանոս գյուղ,143,180,6,74,5,1,0,5,0,575,414,0,414,1,72.0
Aragatsotn,AM-AG,Աշտարակ,Նոր Եդեսիա գյուղ,358,123,8,47,11,55,2,3,3,937,610,0,610,1,65.1
Aragatsotn,AM-AG,Աշտարակ,Ոսկեհատ գյուղ,263,204,3,58,3,37,4,0,12,783,584,0,584,1,74.58
Aragatsotn,AM-AG,Աշտարակ,Ոսկեվազ գյուղ,409,880,52,139,56,712,16,29,5,3376,2302,4,2298,2,68.19
Aragatsotn,AM-AG,Աշտարակ,Ուշի գյուղ,413,214,22,63,8,46,1,7,4,1173,780,1,778,1,66.5
Aragatsotn,AM-AG,Աշտարակ,Ուջան գյուղ,490,175,27,386,277,18,1,12,5,2229,1392,1,1391,2,62.45
Aragatsotn,AM-AG,Աշտարակ,Սաղմոսավան գյուղ,42,37,3,34,3,4,0,7,0,177,130,0,130,1,73.45
Aragatsotn,AM-AG,Աշտարակ,Սասունիկ գյուղ,849,373,51,94,30,91,9,34,18,2521,1551,2,1549,2,61.52
Aragatsotn,AM-AG,Աշտարակ,Վերին Սասունիկ գյուղ,47,7,0,5,0,3,0,1,0,90,63,0,63,1,70.0
Aragatsotn,AM-AG,Աշտարակ,Տեղեր գյուղ,84,6,1,16,0,0,0,0,3,175,110,0,110,1,62.86
Aragatsotn,AM-AG,Աշտարակ,Փարպի գյուղ,0,0,0,0,0,0,0,0,0,1720,1128,0,0,1,65.58
Aragatsotn,AM-AG,Աշտարակ,Օհանավան գյուղ,962,325,24,80,27,30,15,11,5,1952,1505,25,1479,1,77.1
Aragatsotn,AM-AG,Աշտարակ,Օշական գյուղ,739,905,67,818,39,133,11,23,12,4301,2754,2,2747,3,64.03
Aragatsotn,AM-AG,Աշտարակ,Օրգով գյուղ,226,15,0,30,5,3,0,3,0,380,282,0,282,1,74.21
Aragatsotn,AM-AG,Ապարան,Ապարան քաղաք,1443,850,92,168,66,118,14,1037,33,5675,3823,2,3821,3,67.37
Aragatsotn,AM-AG,Ապարան,Արագած (Ապարան) գյուղ,950,568,25,62,15,72,10,67,12,2491,1786,5,1781,2,71.7
Aragatsotn,AM-AG,Ապարան,Արայի գյուղ,136,82,2,12,6,3,0,9,1,327,251,0,251,1,76.76
Aragatsotn,AM-AG,Ապարան,Ափնագյուղ գյուղ,82,76,1,97,20,2,1,12,2,389,293,0,293,1,75.32
