tec,station,constituency,marz_hy,marz_en,marz_iso,community_hy,address,registered,ballots_cast,invalid,valid,republican,tsarukyan_alliance,yelk,arf,congress_ppa,armenian_renaissance,free_democrats,oro,communist,inaccuracy,turnout_pct
01,1/1,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ, Ավան 6փ., 52/1",1952,1254,3,1245,873,120,131,27,12,47,7,23,5,0,64.24
01,1/2,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ, Ավան 6փ., 52/1",1958,1224,10,1214,765,120,154,53,23,54,10,27,8,0,62.51
01,1/3,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 87 դպրոց, Խուդյակով 44",1971,1155,3,1152,757,124,129,51,9,40,5,28,9,0,58.6
01,1/4,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 87 դպրոց, Խուդյակով 44",1965,1219,14,1205,742,125,169,69,21,25,14,33,7,0,62.04
01,1/5,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 104 դպրոց, Աճառյան 5",1704,1117,6,1111,724,154,94,33,11,48,9,21,17,0,65.55
01,1/6,1,Երևան,Yerevan,AM-ER,Ավան,"Ներսես Մեծի անվան թիվ 124 դպրոց, Աճառյան 15",1964,1212,8,1204,696,169,127,90,18,62,11,18,13,0,61.71
01,1/7,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ. 1-ին մ/շ 1/14",1589,899,1,898,481,131,146,32,24,46,10,19,9,1,56.58
01,1/8,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ. 1-ին մ/շ 1/14",1495,907,3,904,474,117,147,28,15,71,19,19,14,1,60.67
01,1/9,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 180 դպրոց, Ավան Առինջ թաղ. 2մշ.",1552,971,9,962,554,104,131,37,7,85,13,15,16,1,62.56
01,1/10,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 55 մ/մանկապարտեզ, Ավան Առինջ թաղ. 2-րդ մ/շ 1/6",2064,1376,2,1376,915,146,135,55,12,64,14,21,14,2,66.67
01,1/11,1,Երևան,Yerevan,AM-ER,Ավան,"Նախկին 7մ/մ, Ավան Առինջ ոաղ. 1մ/շ",1841,1153,5,1148,599,188,154,39,27,75,25,19,22,0,62.63
01,1/12,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի շախմատի մանկապատանեկան մարզադպրոց, Նարեկացի թաղ. 38",1879,1171,4,1166,677,113,163,53,19,89,13,21,18,1,62.32
01,1/13,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի մշակույթի տուն, Ավան, Բաբաջանյան 18/13",1773,1050,0,1047,596,110,143,59,19,70,17,21,12,2,59.22
01,1/14,1,Երևան,Yerevan,AM-ER,Ավան,"Բուդաղյանի անվան արվեստի դպր., Թումանյան թաղ. 3",1925,1221,7,1213,722,142,188,56,22,34,11,24,14,1,63.43
01,1/15,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 170 դպրոց, Թումանյան թաղ. 3",1766,1075,5,1069,585,145,144,60,30,51,20,21,13,0,60.87
01,1/16,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 52 մ/մանկապարտեզ, Իսահակյան թաղ.",1366,878,7,871,523,102,129,35,16,39,11,7,9,0,64.28
01,1/17,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 171 դպրոց, Իսահակյան թաղ.",1527,923,1,921,497,149,124,45,17,52,14,10,13,0,60.45
01,1/18,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի մանկապատանեկան համալիր մարզադպրոց, Ավան, Խուդյակով փ. 214",2006,1355,7,1351,914,104,188,44,20,33,18,17,13,3,67.55
01,1/19,1,Երևան,Yerevan,AM-ER,Ավան,"Գ. Ստարովոյտովայի անվան թիվ 177 դպրոց, Դուրյան 24",1923,1251,23,1224,851,115,133,31,14,41,21,13,5,0,65.05
01,1/20,1,Երևան,Yerevan,AM-ER,Ավան,"ԵՊՀ մասնաճյուղ, Ծարավ Աղբյուր 55ա",2187,1577,11,1562,969,159,183,119,28,32,19,38,15,2,72.11
01,1/21,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 54 մ/մանկապարտեզ, Դուրյան թաղ. 35/1",1557,919,10,909,539,143,104,38,12,25,11,23,14,0,59.02
01,1/22,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 57 մ/մանկապարտեզ, Դուրյան թաղ. 52",1639,1041,3,1038,704,116,103,35,12,32,14,18,4,0,63.51
01,1/23,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 54 մ/մանկապարտեզ, Դուրյան թաղ. 35/1",1325,790,3,785,434,98,144,36,7,22,13,26,5,1,59.62
02,2/1,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 10/105/ մանկապարտեզ, Բաղյան 2",1912,1183,3,1180,670,187,148,55,22,50,11,25,12,0,61.87
02,2/2,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 143 դպրոց, 1-ին տեղամաս, Բաղյան 5",1825,1051,2,1049,534,206,166,49,30,29,9,18,8,0,57.59
02,2/3,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 143 դպրոց, 2-րդ տեղամաս, Բաղյան 5",1848,1099,7,1091,587,174,165,42,32,52,17,15,7,0,59.47
02,2/4,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"Ասլամազյանի անվան երաժշտական դպրոց, Գյուլիքևխվյան 6",1718,1071,1,1070,411,250,168,52,12,147,9,14,7,2,62.34
02,2/5,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 12 /107/ մանկապարտեզ, Բակունցի 4",1629,1004,3,1001,511,247,122,34,19,22,18,19,9,1,61.63
02,2/6,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 150 դպրոց, Բակունցի 6",1839,1125,4,1123,412,260,157,55,16,165,18,34,6,2,61.17
02,2/7,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 142 դպրոց, Գյուլիքևխվյան 33",1907,1230,4,1226,505,354,127,45,6,81,10,91,7,0,64.5
02,2/8,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 13 /108/ մանկապարտեզ, Բակունցի 1 նրբ. 7",1807,1133,7,1126,376,459,83,32,19,69,15,69,4,0,62.7
02,2/9,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 141 դպրոց, Գյուլիքևխվյան 27",1984,1235,0,1235,573,368,101,56,9,67,12,39,10,0,62.25
02,2/10,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 15 /110/ մանկապարտեզ, Ջրվեժ, Մայակ  թաղ. 6",1986,1266,1,1265,543,414,107,81,12,83,8,11,6,0,63.75
02,2/11,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 187 դպրոց, 1-ին տեղամաս, Ջրվեժ, Մայակ թաղ.",1995,1230,0,1226,674,294,76,92,5,47,9,24,5,3,61.65
02,2/12,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 187 դպրոց, 2-րդ տեղամաս, Ջրվեժ, Մայակ թաղ.",2015,1321,13,1308,711,278,122,85,8,58,13,24,9,0,65.56
02,2/13,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 16 /111/ մանկապարտեզ, Մառի 1",1827,1033,13,1017,558,145,148,40,18,52,21,16,19,0,56.54
02,2/14,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 166 դպրոց, Մառի 8",1664,994,13,981,494,172,131,54,20,72,7,18,13,0,59.74
02,2/15,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 17 /112/ մանկապարտեզ, Մառի 9",1610,946,4,942,470,125,134,86,18,59,12,23,15,0,58.76
02,2/16,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"Ճարտարապետության և շինարարության պետական քոլեջ, Մառի 17/1",1719,1051,7,1043,530,192,154,48,18,46,19,25,11,1,61.14
02,2/17,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 19 /113/ մանկապարտեզ, Գալշոյան 62",1913,1162,6,1156,611,202,181,64,18,33,13,23,11,0,60.74
02,2/18,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"Ա. Շիրակացու անվան  ճեմարանի /նախկին հ.18/ մանկապարտեզ, Հակոբյան 3",1938,1198,8,1188,648,249,146,53,14,34,10,26,8,0,61.82
02,2/19,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 159 դպրոց, Միկոյան 4/2",1514,974,7,959,438,295,94,57,8,26,11,19,11,1,64.33
02,2/20,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 20 /114/ մանկապարտեզ, Շոպրոնի 2 նրբ., 3",1919,1162,7,1155,483,304,134,84,26,56,22,26,20,0,60.55
02,2/21,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 163 դպրոց, 1-ին տեղամաս, Գյուրջյան 13",1285,774,5,773,359,212,93,25,9,20,15,36,4,11,60.23
02,2/22,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 163 դպրոց, 2-րդ տեղամաս, Գյուրջյան 13",1160,878,3,875,550,141,82,45,12,19,4,14,8,0,75.69
02,2/23,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"Մարզաառողջական կենտրոն, Լյուքսեմբուրգի 2նրբ.",1916,1189,1,1187,524,251,154,123,18,47,13,46,11,0,62.06
02,2/24,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 88 դպրոց, 1-ին տեղամաս, Կարախանյան 11",1763,1139,7,1132,643,245,105,53,14,27,7,28,10,0,64.61
02,2/25,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 88 դպրոց, 2-րդ տեղամաս,Կարախանյան 11",1828,1119,35,1083,521,255,142,43,17,47,7,32,19,1,61.21
02,2/26,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 22 մանկապարտեզ, Հ. Ավետիսյան 5/1",1896,1188,3,1184,661,218,111,50,13,80,11,30,10,0,62.66
02,2/27,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 24 /117/ մանկապարտեզ, Կարախանյան 8",1777,1097,3,1094,596,200,142,49,20,37,12,24,14,0,61.73
