marz_en,marz_iso,community_hy,my_step,prosperous_armenia,bright_armenia,republican,arf,we_alliance,sasna_tsrer,orinats_yerkir,citizens_decision,christian_democratic_rebirth,national_progress,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,497,405,25,74,33,1,11,5,8,5,3,3560,1078,11,1067,11,30.28
Aragatsotn,AM-AG,Աշտարակ,22338,2470,1031,419,1499,268,343,696,334,88,57,56618,29679,129,29543,48,52.42
Aragatsotn,AM-AG,Ապարան,7688,1036,762,204,591,93,117,78,35,23,41,18820,10705,33,10668,25,56.88
Aragatsotn,AM-AG,Արեվուտ,110,29,37,15,35,3,1,2,1,1,4,837,238,0,238,6,28.43
Aragatsotn,AM-AG,Թալին,8740,1627,2040,394,1403,325,370,276,84,32,30,29022,15402,80,15321,39,53.07
Aragatsotn,AM-AG,Ծաղկահովիտ,2562,638,184,168,285,11,34,51,37,5,8,7760,4008,25,3983,10,51.65
Aragatsotn,AM-AG,Մեծաձոր,14,11,0,3,3,1,7,0,0,0,0,257,40,1,39,2,15.56
Aragatsotn,AM-AG,Շամիրամ,134,6,6,1,6,6,0,0,2,0,0,812,161,0,161,1,19.83
Ararat,AM-AR,Արարատ,11739,1535,410,1416,406,570,216,199,102,46,25,31285,16719,53,16664,22,53.44
Ararat,AM-AR,Արտաշատ,36158,3733,1684,2573,1441,708,922,482,148,164,115,99337,48279,142,48128,69,48.6
Ararat,AM-AR,Մասիս,17211,2816,1241,1539,347,528,455,198,77,73,43,49681,24579,50,24528,34,49.47
Ararat,AM-AR,Վեդի,15384,994,1017,1589,517,950,289,696,68,82,77,39536,21737,73,21663,28,54.98
Ararat,AM-AR,Վերին Դվին,611,30,16,31,26,7,0,11,1,2,1,1700,771,34,736,1,45.35
Armavir,AM-AV,Արաքս,8740,1266,1605,373,343,464,134,90,33,62,40,28652,13193,45,13150,20,46.05
Armavir,AM-AV,Արմավիր,14393,3889,2483,431,836,276,338,116,66,55,32,52562,22985,69,22915,32,43.73
Armavir,AM-AV,Բաղրամյան,5107,608,307,146,977,35,297,26,13,20,35,15803,7595,23,7571,18,48.06
Armavir,AM-AV,Մեծամոր,13558,3480,1872,444,1257,427,223,100,94,58,60,48128,21636,45,21573,37,44.96
Armavir,AM-AV,Վաղարշապատ,20825,2406,2128,1045,512,1629,542,130,109,185,75,70499,29694,108,29586,47,42.12
Armavir,AM-AV,Փարաքար,6790,298,354,212,119,537,211,35,69,21,8,18358,8685,29,8654,13,47.31
Armavir,AM-AV,Ֆերիկ,95,16,1,4,2,2,1,0,0,0,0,351,121,0,121,1,34.47
Gegharkunik,AM-GR,Գավառ,16358,2042,468,811,1143,245,266,274,51,41,51,48277,21805,50,21750,30,45.17
Gegharkunik,AM-GR,Ճամբարակ,5416,382,85,262,380,45,55,49,32,10,11,11497,6749,20,6727,19,58.7
Gegharkunik,AM-GR,Մարտունի,22653,2364,2076,725,1635,1098,845,662,56,96,187,65281,32475,76,32397,41,49.75
Gegharkunik,AM-GR,Սեվան,12158,1501,702,380,2252,101,194,74,54,34,32,33513,17569,85,17482,24,52.42
Gegharkunik,AM-GR,Վարդենիս,11436,1988,1225,477,1369,573,174,349,63,72,65,32593,17829,66,17791,41,54.7
Kotayk,AM-KT,Աբովյան,18715,7390,856,860,660,346,503,148,152,153,249,64951,30159,125,30032,42,46.43
Kotayk,AM-KT,Ակունք,2264,1182,53,86,107,43,36,15,4,29,31,7102,3857,7,3850,8,54.31
Kotayk,AM-KT,Արզնի,518,141,30,31,39,2,10,2,7,5,9,2236,797,3,794,2,35.64
Kotayk,AM-KT,Բյուրեղավան,3056,516,83,99,202,34,64,16,13,16,48,8889,4180,33,4147,6,47.02
Kotayk,AM-KT,Գառնի,3492,851,106,144,337,29,39,12,8,37,32,9597,5103,16,5087,9,53.17
Kotayk,AM-KT,Ծաղկաձոր,1735,670,60,80,353,13,39,4,11,15,6,5518,2997,11,2986,7,54.31
