marz_en,marz_iso,community_hy,locality_hy,my_step,prosperous_armenia,bright_armenia,republican,arf,we_alliance,sasna_tsrer,orinats_yerkir,citizens_decision,christian_democratic_rebirth,national_progress,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,Ալագյազ գյուղ,101,51,3,16,4,0,1,0,0,1,0,566,181,4,177,1,31.98
Aragatsotn,AM-AG,Ալագյազ,Ավշեն գյուղ,31,13,1,7,4,0,9,1,1,0,0,343,68,1,67,1,19.83
Aragatsotn,AM-AG,Ալագյազ,Կանիաշիր գյուղ,14,51,1,2,3,0,0,1,0,0,0,364,72,0,72,1,19.78
Aragatsotn,AM-AG,Ալագյազ,Ճարճակիս գյուղ,38,138,1,5,7,0,0,0,1,2,0,502,193,1,192,1,38.45
Aragatsotn,AM-AG,Ալագյազ,Միջնատուն գյուղ,37,18,3,1,2,0,1,0,1,0,1,201,64,0,64,1,31.84
Aragatsotn,AM-AG,Ալագյազ,Միրաք գյուղ,27,0,2,1,0,0,0,0,0,0,0,93,30,0,30,1,32.26
Aragatsotn,AM-AG,Ալագյազ,Շենկանի գյուղ,59,32,0,2,3,0,0,0,2,0,0,233,98,0,98,1,42.06
Aragatsotn,AM-AG,Ալագյազ,Ջամշլու  գյուղ,60,8,2,5,2,0,0,0,1,0,0,238,78,0,78,1,32.77
Aragatsotn,AM-AG,Ալագյազ,Ռյա թազա գյուղ,59,34,11,26,5,1,0,1,2,2,2,523,143,0,143,1,27.34
Aragatsotn,AM-AG,Ալագյազ,Սադունց գյուղ,39,46,0,0,2,0,0,1,0,0,0,245,93,5,88,1,37.96
Aragatsotn,AM-AG,Ալագյազ,Սիփան գյուղ,32,14,1,9,1,0,0,1,0,0,0,252,58,0,58,1,23.02
Aragatsotn,AM-AG,Աշտարակ,Ագարակ գյուղ,607,40,21,38,27,5,16,8,3,0,7,1407,774,2,772,1,55.01
Aragatsotn,AM-AG,Աշտարակ,Աղձք գյուղ,521,188,24,4,6,3,3,5,4,2,2,1417,762,0,762,1,53.78
Aragatsotn,AM-AG,Աշտարակ,Անտառուտ գյուղ,121,5,0,2,7,2,0,2,0,2,0,241,141,0,141,1,58.51
Aragatsotn,AM-AG,Աշտարակ,Աշտարակ քաղաք,7339,929,270,164,396,52,137,265,167,23,8,19616,9776,23,9750,11,49.84
Aragatsotn,AM-AG,Աշտարակ,Ավան գյուղ,288,13,9,0,99,8,3,1,1,0,1,678,429,6,423,1,63.27
Aragatsotn,AM-AG,Աշտարակ,Արագածոտն գյուղ,301,20,13,3,70,8,7,2,5,0,2,799,431,0,431,1,53.94
Aragatsotn,AM-AG,Աշտարակ,Արուճ գյուղ,243,115,15,4,38,70,21,2,1,3,4,871,518,2,516,1,59.47
Aragatsotn,AM-AG,Աշտարակ,Արտաշավան գյուղ,152,28,8,4,39,7,6,1,2,1,2,540,250,0,250,1,46.3
Aragatsotn,AM-AG,Աշտարակ,Բազմաղբյուր գյուղ,324,40,8,5,15,1,3,0,1,0,1,798,407,9,398,1,51.0
Aragatsotn,AM-AG,Աշտարակ,Բյուրական գյուղ,1704,53,55,12,68,25,12,11,27,12,3,3503,1990,7,1982,2,56.81
Aragatsotn,AM-AG,Աշտարակ,Դպրեվանք գյուղ,10,6,0,1,1,1,2,5,0,1,0,63,27,0,27,1,42.86
Aragatsotn,AM-AG,Աշտարակ,Լեռնարոտ գյուղ,159,3,1,4,9,3,1,0,1,0,0,246,181,0,181,1,73.58
Aragatsotn,AM-AG,Աշտարակ,Կարբի գյուղ,1348,109,76,20,53,3,11,29,17,5,3,3196,1704,29,1674,2,53.32
Aragatsotn,AM-AG,Աշտարակ,Կոշ գյուղ,960,103,30,23,41,13,18,6,40,2,2,2332,1239,1,1238,3,53.13
Aragatsotn,AM-AG,Աշտարակ,Ղազարավան գյուղ,128,101,5,5,11,0,2,2,0,1,4,409,259,0,259,1,63.33
Aragatsotn,AM-AG,Աշտարակ,Նոր Ամանոս գյուղ,156,99,12,8,13,5,18,3,1,0,3,575,319,1,318,1,55.48
Aragatsotn,AM-AG,Աշտարակ,Նոր Եդեսիա գյուղ,361,32,14,4,59,0,2,12,5,5,2,926,499,3,496,1,53.89
Aragatsotn,AM-AG,Աշտարակ,Ոսկեհատ գյուղ,313,98,5,11,25,5,2,7,4,1,1,793,472,0,472,1,59.52
Aragatsotn,AM-AG,Աշտարակ,Ոսկեվազ գյուղ,1402,43,42,29,26,13,12,285,3,14,2,3387,1893,21,1871,2,55.89
Aragatsotn,AM-AG,Աշտարակ,Ուշի գյուղ,449,89,12,7,10,0,8,12,1,1,0,1178,595,6,589,1,50.51
Aragatsotn,AM-AG,Աշտարակ,Ուջան գյուղ,728,30,171,13,224,16,23,4,7,1,2,2253,1224,5,1219,2,54.33
Aragatsotn,AM-AG,Աշտարակ,Սաղմոսավան գյուղ,88,5,2,2,1,0,2,1,1,1,0,179,103,0,103,1,57.54
