tec,station,constituency,marz_hy,marz_en,marz_iso,community_hy,address,registered,ballots_cast,invalid,valid,my_step,prosperous_armenia,bright_armenia,republican,arf,we_alliance,sasna_tsrer,orinats_yerkir,citizens_decision,christian_democratic_rebirth,national_progress,inaccuracy,turnout_pct
01,1/1,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ, Ավան 6փ., 52/1",1962,924,1,922,680,38,63,62,24,9,17,10,4,6,9,0,47.09
01,1/2,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ, Ավան 6փ., 52/1",1985,1007,0,1007,754,61,61,42,24,15,18,14,5,8,5,0,50.73
01,1/3,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 87 դպրոց, Խուդյակով 44",1996,885,1,884,619,51,61,82,13,16,11,15,5,5,6,0,44.34
01,1/4,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 87 դպրոց, Խուդյակով 44",1932,942,0,943,716,29,63,54,21,13,17,4,4,9,13,1,48.76
01,1/5,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 104 դպրոց, Աճառյան 5",1706,872,0,872,664,27,55,63,6,7,11,24,6,6,3,0,51.11
01,1/6,1,Երևան,Yerevan,AM-ER,Ավան,"Ներսես Մեծի անվան թիվ 124 դպրոց, Աճառյան 15",1961,904,13,891,624,54,66,80,19,6,18,11,4,6,3,0,46.1
01,1/7,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ. 1-ին մ/շ 1/14",1550,779,4,774,520,45,47,91,18,6,21,9,16,0,1,0,50.26
01,1/8,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ. 1-ին մ/շ 1/14",1496,781,1,780,533,33,54,110,10,11,15,3,4,3,4,1,52.21
01,1/9,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 180 դպրոց, Ավան Առինջ թաղ. 2մշ.",1544,818,0,821,571,46,52,85,14,5,22,11,7,3,5,3,52.98
01,1/10,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 55 մ/մանկապարտեզ, Ավան Առինջ թաղ. 2-րդ մ/շ 1/6",1877,982,3,978,632,47,54,124,21,11,41,23,13,7,5,1,52.32
01,1/11,1,Երևան,Yerevan,AM-ER,Ավան,"Նախկին 7մ/մ, Ավան Առինջ ոաղ. 1մ/շ",1837,955,6,949,646,46,48,103,14,21,24,20,13,9,5,0,51.99
01,1/12,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի շախմատի մանկապատանեկան մարզադպրոց, Նարեկացի թաղ. 38",1879,969,0,966,726,34,58,64,16,16,26,3,10,11,2,0,51.57
01,1/13,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի մշակույթի տուն, Ավան, Բաբաջանյան 18/13",1784,881,0,881,603,59,64,76,16,16,30,4,7,6,0,0,49.38
01,1/14,1,Երևան,Yerevan,AM-ER,Ավան,"Բուդաղյանի անվան արվեստի դպր., Թումանյան թաղ. 3",1903,994,16,978,669,35,70,128,7,13,30,9,6,7,4,0,52.23
01,1/15,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 170 դպրոց, Թումանյան թաղ. 3",1746,834,1,833,596,36,49,59,25,10,24,13,7,5,9,0,47.77
01,1/16,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 52 մ/մանկապարտեզ, Իսահակյան թաղ.",1353,725,8,717,547,13,56,52,7,13,14,8,2,3,2,0,53.58
01,1/17,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 171 դպրոց, Իսահակյան թաղ.",1496,775,2,773,527,54,56,67,25,13,8,4,6,8,5,0,51.8
01,1/18,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի մանկապատանեկան համալիր մարզադպրոց, Ավան, Խուդյակով փ. 214",1950,1007,0,1006,662,47,80,134,19,10,28,7,10,6,3,0,51.64
01,1/19,1,Երևան,Yerevan,AM-ER,Ավան,"Գ. Ստարովոյտովայի անվան թիվ 177 դպրոց, Դուրյան 24",1854,911,10,901,550,41,74,160,13,8,28,4,11,7,5,1,49.14
01,1/20,1,Երևան,Yerevan,AM-ER,Ավան,"ԵՊՀ մասնաճյուղ, Ծարավ Աղբյուր 55ա",1983,1117,4,1113,616,49,120,175,54,17,30,12,29,8,3,0,56.33
01,1/21,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 54 մ/մանկապարտեզ, Դուրյան թաղ. 35/1",1576,806,0,806,560,47,84,64,9,10,8,6,4,10,4,0,51.14
01,1/22,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 57 մ/մանկապարտեզ, Դուրյան թաղ. 52",1586,848,4,844,568,43,73,86,15,5,24,5,5,8,12,0,53.47
01,1/23,1,Երևան,Yerevan,AM-ER,Ավան,"թիվ 54 մ/մանկապարտեզ, Դուրյան թաղ. 35/1",1330,652,0,652,442,28,73,66,6,10,14,4,5,3,1,0,49.02
02,2/1,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 10/105/ մանկապարտեզ, Բաղյան 2",1966,985,2,982,638,57,75,93,26,30,33,14,6,9,1,1,50.1
02,2/2,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 143 դպրոց, 1-ին տեղամաս, Բաղյան 5",1799,811,1,810,562,47,76,46,8,13,34,10,4,9,1,0,45.08
02,2/3,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 143 դպրոց, 2-րդ տեղամաս, Բաղյան 5",1883,895,1,893,604,49,73,79,23,13,23,8,14,4,3,1,47.53
02,2/4,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"Ասլամազյանի անվան երաժշտական դպրոց, Գյուլիքևխվյան 6",1748,883,1,882,631,38,73,56,19,3,27,7,12,15,1,0,50.51
02,2/5,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 12 /107/ մանկապարտեզ, Բակունցի 4",1651,826,5,821,597,37,40,60,14,11,32,1,17,10,2,0,50.03
02,2/6,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 150 դպրոց, Բակունցի 6",1823,873,5,866,653,33,43,53,21,15,24,7,11,4,2,2,47.89
02,2/7,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 142 դպրոց, Գյուլիքևխվյան 33",1889,887,2,885,666,47,67,35,12,9,25,5,8,7,4,0,46.96
02,2/8,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"թիվ 13 /108/ մանկապարտեզ, Բակունցի 1 նրբ. 7",1961,938,0,938,688,54,62,48,16,28,17,9,5,7,4,0,47.83
